year,asx200
1996,2367.800048828125
1997,2567.39990234375
1998,2717.60009765625
1999,3117.699951171875
2000,3206.199951171875
2001,3422.300048828125
2002,3007.10009765625
2003,3299.800048828125
2004,4050.60009765625
2005,4763.39990234375
2006,5669.89990234375
2007,6339.7998046875
2008,3722.300048828125
2009,4870.60009765625
2010,4745.2001953125
2011,4056.60009765625
2012,4649.0
2013,5352.2001953125
2014,5411.0
2015,5295.89990234375
2016,5665.7998046875
2017,6065.10009765625
2018,5646.39990234375
2019,6684.10009765625
2020,6587.10009765625
2021,7444.60009765625
2022,7038.7001953125
2023,7590.7998046875
