year,mexbol
1996,3361.0
1997,5229.39990234375
1998,3959.659912109375
1999,7129.8798828125
2000,5652.18994140625
2001,6372.27978515625
2002,6127.08984375
2003,8795.2802734375
2004,12917.8798828125
2005,17802.7109375
2006,26448.3203125
2007,29536.830078125
2008,22380.3203125
2009,32120.470703125
2010,38243.140625
2011,37077.51953125
2012,43705.828125
2013,42958.8203125
2014,43145.66015625
2015,42977.5
2016,45642.8984375
2017,49354.421875
2018,41640.26953125
2019,43541.01953125
2020,44066.87890625
2021,53272.44140625
2022,48463.859375
2023,57386.25
