year,nikkei
1996,19361.349609375
1997,15258.740234375
1998,13842.169921875
1999,18934.33984375
2000,13785.6904296875
2001,10542.6201171875
2002,8578.9501953125
2003,10676.6396484375
2004,11488.759765625
2005,16111.4296875
2006,17225.830078125
2007,15307.7802734375
2008,8859.5595703125
2009,10546.4404296875
2010,10228.919921875
2011,8455.349609375
2012,10395.1796875
2013,16291.3095703125
2014,17450.76953125
2015,19033.7109375
2016,19114.369140625
2017,22764.939453125
2018,20014.76953125
2019,23656.619140625
2020,27444.169921875
2021,28791.7109375
2022,26094.5
2023,33464.171875
