year,sti
1996,2216.800048828125
1997,1529.800048828125
1998,1392.72998046875
1999,2479.580078125
2000,1926.8299560546875
2001,1623.5999755859375
2002,1341.030029296875
2003,1764.52001953125
2004,2066.139892578125
2005,2347.340087890625
2006,2985.830078125
2007,3482.300048828125
2008,1761.56005859375
2009,2879.760009765625
2010,3190.0400390625
2011,2646.35009765625
2012,3167.080078125
2013,3167.429931640625
2014,3365.14990234375
2015,2882.72998046875
2016,2880.760009765625
2017,3402.919921875
2018,3068.760009765625
2019,3222.830078125
2020,2843.81005859375
2021,3123.679931640625
2022,3251.320068359375
2023,3240.27001953125
