,year,cc,ge,pv,rl,rq,va,asx200
0,1996,93.5483856201172,95.62841796875,96.27659606933594,96.48241424560548,90.21739196777344,93.0,2367.800048828125
1,1998,92.51336669921876,89.61748504638672,82.97872161865234,96.5,92.39130401611328,93.03482818603516,2717.60009765625
2,2000,93.61701965332033,92.34972381591795,93.12169647216795,95.02487182617188,94.02173614501952,94.02985382080078,3206.199951171875
3,2002,92.06349182128906,90.8108139038086,89.4179916381836,95.52238464355467,89.1891860961914,93.53234100341795,3007.10009765625
4,2003,93.65079498291016,93.51351165771484,75.87939453125,96.0198974609375,92.97297668457033,94.5273666381836,3299.800048828125
5,2004,96.55172729492188,96.0198974609375,78.64077758789062,95.67308044433594,96.0198974609375,94.23076629638672,4050.60009765625
6,2005,95.60975646972656,94.60784149169922,76.21359252929688,95.2153091430664,94.11764526367188,94.23076629638672,4763.39990234375
7,2006,95.1219482421875,93.65853881835938,78.74396514892578,94.25836944580078,95.09803771972656,94.71154022216795,5669.89990234375
8,2007,95.63106536865234,96.11650848388672,78.74396514892578,94.25836944580078,95.63106536865234,94.23076629638672,6339.7998046875
9,2008,96.11650848388672,95.63106536865234,80.28845977783203,95.19230651855467,96.60194396972656,94.71154022216795,3722.300048828125
10,2009,96.17224884033205,94.25836944580078,76.77725219726562,94.78672790527344,99.04306030273438,94.31279754638672,4870.60009765625
11,2010,95.23809814453124,94.7368392944336,78.19905090332031,94.78672790527344,96.65071868896484,94.78672790527344,4745.2001953125
12,2011,96.20853424072266,94.31279754638672,74.88151550292969,95.77465057373048,98.10426330566406,95.77465057373048,4056.60009765625
13,2012,95.7345962524414,93.83885955810548,82.4644546508789,95.77465057373048,97.1563949584961,95.77465057373048,4649.0
14,2013,93.83885955810548,94.31279754638672,83.41232299804688,95.77465057373048,97.1563949584961,94.36619567871094,5352.2001953125
15,2014,95.19230651855467,92.30769348144533,85.23809814453125,96.15384674072266,98.07691955566406,93.59606170654295,5411.0
16,2015,94.76190185546876,91.9047622680664,76.19047546386719,95.23809814453124,96.1904754638672,93.10344696044922,5295.89990234375
17,2016,93.33333587646484,91.42857360839844,87.61904907226562,94.76190185546876,97.61904907226562,94.0886688232422,5665.7998046875
18,2017,92.85713958740234,91.42857360839844,77.61904907226562,93.33333587646484,98.0952377319336,94.0886688232422,6065.10009765625
19,2018,92.38095092773438,92.38095092773438,83.49056243896484,92.85713958740234,98.0952377319336,94.1747589111328,5646.39990234375
20,2019,94.76190185546876,92.38095092773438,78.30188751220703,93.33333587646484,98.57142639160156,92.2705307006836,6684.10009765625
21,2020,93.8095245361328,92.85713958740234,74.52830505371094,91.9047622680664,98.0952377319336,93.2367172241211,6587.10009765625
22,2021,94.76190185546876,92.85713958740234,75.47169494628906,92.38095092773438,98.57142639160156,93.71981048583984,7444.60009765625
23,2022,95.28302001953124,92.92453002929688,83.01886749267578,91.03773498535156,99.52830505371094,93.2367172241211,7038.7001953125
24,2023,95.75471496582033,93.86792755126952,79.620849609375,91.98113250732422,99.52830505371094,96.07843017578124,7590.7998046875
