,year,cc,ge,pv,rl,rq,va,mexbol
0,1996,36.021507263183594,62.29508209228516,20.74468040466309,27.13567924499512,59.78260803222656,50.5,3361.0
1,1998,43.85026550292969,65.0273208618164,30.85106468200684,35.0,57.60869598388672,50.248756408691406,3959.659912109375
2,2000,54.787235260009766,62.29508209228516,39.153438568115234,37.810943603515625,61.41304397583008,57.21393203735352,5652.18994140625
3,2002,47.619049072265625,60.5405387878418,45.50264739990234,40.7960205078125,63.783782958984375,58.70646667480469,6127.08984375
4,2003,48.67724990844727,60.0,40.20100402832031,42.28855895996094,62.70270156860352,60.69651794433594,8795.2802734375
5,2004,41.87192153930664,58.20895385742188,38.34951400756836,40.86538314819336,64.67662048339844,58.653846740722656,12917.8798828125
6,2005,45.85365676879883,55.882354736328125,33.49514389038086,41.1483268737793,57.84313583374024,57.69230651855469,17802.7109375
7,2006,43.90243911743164,57.07316970825195,26.57004737854004,40.19138717651367,61.27450942993164,51.92307662963867,26448.3203125
8,2007,45.63106918334961,57.28155517578125,23.671497344970703,35.88516616821289,62.13592147827149,52.403846740722656,29536.830078125
9,2008,45.63106918334961,58.73786544799805,19.230770111083984,28.846153259277344,61.16504669189453,51.92307662963867,22380.3203125
10,2009,44.49760818481445,59.33014297485352,22.27488136291504,35.07109069824219,57.41626739501953,55.45023727416992,32120.470703125
11,2010,40.47618865966797,59.33014297485352,23.222749710083008,35.54502487182617,55.023921966552734,54.97630310058594,38243.140625
12,2011,39.33649444580078,62.55924224853516,26.06635093688965,34.272300720214844,56.39810562133789,53.05164337158203,37077.51953125
13,2012,37.91469192504883,63.03317642211914,24.644550323486328,38.028167724609375,64.92890930175781,53.9906120300293,43705.828125
14,2013,34.5971565246582,62.55924224853516,23.222749710083008,35.21126937866211,65.40284729003906,53.05164337158203,42958.8203125
15,2014,22.115385055541992,58.17307662963867,17.619047164916992,39.42307662963867,65.38461303710938,48.76847457885742,43145.66015625
16,2015,19.5238094329834,57.619049072265625,21.428571701049805,39.0476188659668,63.80952453613281,44.33497619628906,42977.5
17,2016,20.0,54.761905670166016,23.80952453613281,30.952381134033203,61.904762268066406,43.84236526489258,45642.8984375
18,2017,16.190475463867188,50.47618865966797,17.619047164916992,30.952381134033203,61.42856979370117,42.85714340209961,49354.421875
19,2018,16.66666603088379,42.380950927734375,22.641510009765625,28.095237731933597,58.57143020629883,45.63106918334961,41640.26953125
20,2019,18.095237731933597,39.0476188659668,18.39622688293457,26.66666603088379,55.71428680419922,45.89371871948242,43541.01953125
21,2020,19.5238094329834,42.380950927734375,19.339622497558597,29.0476188659668,50.9523811340332,44.92753601074219,44066.87890625
22,2021,17.619047164916992,37.619049072265625,23.11320686340332,22.85714340209961,44.28571319580078,43.96135330200195,53272.44140625
23,2022,17.452829360961914,41.98113250732422,20.283018112182617,20.754716873168945,46.69811248779297,42.02898406982422,48463.859375
24,2023,17.452829360961914,43.39622497558594,22.748815536499023,24.056604385375977,46.22641372680664,42.156864166259766,57386.25
