,year,cc,ge,pv,rl,rq,va,nikkei
0,1996,84.40859985351562,81.42076873779297,88.2978744506836,89.44723510742188,72.82608795166016,81.0,19361.349609375
1,1998,82.35294342041016,82.51366424560547,93.0851058959961,90.5,68.47826385498047,74.62686920166016,13842.169921875
2,2000,85.10638427734375,85.79235076904297,88.35978698730469,88.05970001220703,77.71739196777344,75.62188720703125,13785.6904296875
3,2002,81.48148345947266,82.16216278076172,88.88888549804688,84.07960510253906,65.9459457397461,75.62188720703125,8578.9501953125
4,2003,84.12698364257812,85.40540313720703,82.9145736694336,84.57711791992188,80.54054260253906,83.58209228515625,10676.6396484375
5,2004,85.71428680419922,89.05472564697266,82.5242691040039,88.46154022216797,82.58706665039062,82.69230651855469,11488.759765625
6,2005,83.90243530273438,85.78431701660156,82.5242691040039,88.03827667236328,86.2745132446289,81.25,16111.4296875
7,2006,89.26829528808594,91.70731353759766,90.82125854492188,89.95215606689453,86.76470947265625,76.92308044433594,17225.830078125
8,2007,85.4368896484375,88.83495330810547,82.60869598388672,89.47368621826172,84.95145416259766,75.96154022216797,15307.7802734375
9,2008,88.83495330810547,88.34951782226562,77.40384674072266,88.94230651855469,83.00971221923828,75.48076629638672,8859.5595703125
10,2009,89.47368621826172,88.5167465209961,84.36019134521484,88.15165710449219,82.2966537475586,79.620849609375,10546.4404296875
11,2010,91.42857360839844,90.90908813476562,77.7251205444336,88.15165710449219,80.86124420166016,81.04265594482422,10228.919921875
12,2011,91.4691925048828,89.5734634399414,81.99052429199219,87.79342651367188,81.51658630371094,82.15962219238281,8455.349609375
13,2012,91.94313049316406,88.62559509277344,78.19905090332031,88.26290893554688,84.36019134521484,84.50704193115234,10395.1796875
14,2013,92.89099884033205,93.36492919921876,82.93838500976562,89.6713638305664,82.93838500976562,84.97652435302734,16291.3095703125
15,2014,92.30769348144533,96.63461303710938,80.0,89.42308044433594,83.65384674072266,79.31034851074219,17450.76953125
16,2015,91.42857360839844,96.1904754638672,87.61904907226562,88.57142639160156,84.76190185546875,78.81773376464844,19033.7109375
17,2016,90.47618865966795,95.23809814453124,81.42857360839844,88.0952377319336,90.47618865966795,77.33990478515625,19114.369140625
18,2017,90.0,92.38095092773438,87.61904907226562,89.04762268066406,90.0,80.29556274414062,22764.939453125
19,2018,89.04762268066406,93.8095245361328,87.26415252685547,89.52381134033203,89.04762268066406,79.61164855957031,20014.76953125
20,2019,89.04762268066406,92.85713958740234,83.49056243896484,89.52381134033203,88.57142639160156,77.77777862548828,23656.619140625
21,2020,90.47618865966795,92.38095092773438,85.37735748291016,90.47618865966795,89.52381134033203,79.22705078125,27444.169921875
22,2021,90.95237731933594,89.04762268066406,84.9056625366211,90.95237731933594,90.0,82.12560272216797,28791.7109375
23,2022,90.5660400390625,96.2264175415039,84.9056625366211,92.45282745361328,91.50943756103516,80.67633056640625,26094.5
24,2023,90.0943374633789,96.69811248779295,81.51658630371094,92.45282745361328,92.45282745361328,85.29412078857422,33464.171875
