,year,cc,ge,pv,rl,rq,va,sp500
0,1996,91.3978500366211,89.07103729248047,77.65957641601562,92.46231079101562,95.65217590332033,91.0,740.739990234375
1,1998,91.97860717773438,91.25682830810548,76.59574127197266,92.5,95.10869598388672,91.0447769165039,1229.22998046875
2,2000,92.02127838134766,91.80327606201172,82.53968048095703,93.03482818603516,95.10869598388672,89.05472564697266,1320.280029296875
3,2002,92.59259033203124,89.72972869873047,53.96825408935547,92.53731536865234,93.51351165771484,92.03980255126952,879.8200073242188
4,2003,92.06349182128906,89.72972869873047,46.73366928100586,93.03482818603516,92.43243408203124,91.0447769165039,1111.9200439453125
5,2004,92.61083984375,92.03980255126952,37.378639221191406,90.86538696289062,92.53731536865234,89.90384674072266,1211.9200439453125
6,2005,91.70731353759766,90.19607543945312,43.6893196105957,91.38755798339844,95.5882339477539,89.90384674072266,1248.2900390625
7,2006,90.73170471191406,90.73170471191406,60.86956405639648,92.82296752929688,95.5882339477539,86.53845977783203,1418.300048828125
8,2007,90.77669525146484,93.2038803100586,57.00482940673828,91.86602783203124,92.2330093383789,85.57691955566406,1468.3599853515625
9,2008,91.74757385253906,92.2330093383789,66.82691955566406,92.30769348144533,93.2038803100586,86.53845977783203,903.25
10,2009,85.16746520996094,90.4306182861328,61.61137390136719,91.94313049316406,89.95215606689453,84.83412170410156,1115.0999755859375
11,2010,84.76190185546875,91.86602783203124,60.66350555419922,92.41706085205078,91.86602783203124,85.78199005126953,1257.6400146484375
12,2011,84.83412170410156,91.4691925048828,64.4549789428711,91.0798110961914,91.94313049316406,86.38497924804688,1257.5999755859375
13,2012,89.09952545166016,90.52132415771484,66.3507080078125,91.5492935180664,87.67772674560547,87.79342651367188,1426.18994140625
14,2013,88.15165710449219,91.4691925048828,66.82464599609375,90.6103286743164,86.7298583984375,84.03755950927734,1848.3599853515625
15,2014,89.42308044433594,89.42308044433594,65.71428680419922,89.90384674072266,88.94230651855469,81.77339935302734,2058.89990234375
16,2015,89.52381134033203,88.57142639160156,66.66666412353516,90.47618865966795,85.23809814453125,84.2364501953125,2043.93994140625
17,2016,90.0,90.47618865966795,59.0476188659668,91.42857360839844,91.9047622680664,84.2364501953125,2238.830078125
18,2017,88.57142639160156,91.9047622680664,55.71428680419922,91.9047622680664,92.85713958740234,81.2807846069336,2673.610107421875
19,2018,88.0952377319336,91.9047622680664,58.96226501464844,89.04762268066406,92.85713958740234,80.09708404541016,2506.85009765625
20,2019,87.61904907226562,90.47618865966795,52.358489990234375,89.04762268066406,89.04762268066406,77.29468536376953,3230.780029296875
21,2020,81.9047622680664,86.66666412353516,47.641510009765625,88.57142639160156,87.14286041259766,72.94686126708984,3756.070068359375
22,2021,82.85713958740234,87.61904907226562,46.69811248779297,88.0952377319336,90.47618865966795,74.39613342285156,4766.18017578125
23,2022,82.54717254638672,87.26415252685547,46.22641372680664,88.67924499511719,91.03773498535156,73.91304016113281,3839.5
24,2023,83.01886749267578,87.73584747314453,47.39336395263672,88.67924499511719,90.5660400390625,75.49019622802734,4769.830078125
