,year,cc,ge,pv,rl,rq,va,ssmi
0,1996,95.69892120361328,93.98907470703124,99.46808624267578,100.0,95.10869598388672,92.0,3942.199951171875
1,1998,95.721923828125,96.7213134765625,98.40425872802734,99.0,96.1956558227539,93.53234100341795,7160.7001953125
2,2000,94.68085479736328,98.36065673828124,97.35449981689452,99.5024871826172,97.82608795166016,93.53234100341795,8135.39990234375
3,2002,95.76719665527344,97.29729461669922,97.35449981689452,100.0,97.83783721923828,95.02487182617188,4630.7998046875
4,2003,96.8253936767578,92.43243408203124,94.9748764038086,98.50746154785156,96.75675964355467,95.02487182617188,5487.7998046875
5,2004,96.05911254882812,99.5024871826172,93.2038803100586,98.07691955566406,95.02487182617188,97.59615325927734,5693.2001953125
6,2005,97.07317352294922,96.07843017578124,90.77669525146484,98.08612060546876,93.1372528076172,97.11538696289062,7583.89990234375
7,2006,96.58536529541016,98.53658294677734,95.16908264160156,97.12918853759766,92.64705657958984,98.07691955566406,8785.7001953125
8,2007,96.60194396972656,99.02912902832033,94.20289611816406,97.60765838623048,95.1456298828125,98.07691955566406,8484.5
9,2008,97.0873794555664,98.54368591308594,94.71154022216795,96.63461303710938,93.68932342529295,98.07691955566406,5534.52978515625
10,2009,97.12918853759766,98.08612060546876,94.78672790527344,95.7345962524414,94.25836944580078,99.52606964111328,6545.91015625
11,2010,96.66666412353516,97.60765838623048,92.41706085205078,94.31279754638672,94.7368392944336,99.05213165283205,6436.0400390625
12,2011,95.7345962524414,97.63033294677734,94.31279754638672,93.89671325683594,94.78672790527344,98.591552734375,5936.22998046875
13,2012,97.63033294677734,97.63033294677734,98.57820129394533,96.71361541748048,95.26066589355467,98.12206268310548,6822.43994140625
14,2013,97.63033294677734,98.10426330566406,98.10426330566406,96.24413299560548,94.31279754638672,98.12206268310548,8202.98046875
15,2014,98.07691955566406,99.51923370361328,98.0952377319336,98.07691955566406,96.15384674072266,99.01477813720705,8983.3701171875
16,2015,97.61904907226562,99.52381134033205,96.1904754638672,97.61904907226562,95.23809814453124,98.5221710205078,8818.08984375
17,2016,95.71428680419922,99.52381134033205,94.28571319580078,98.0952377319336,98.0952377319336,97.53694915771484,8219.8701171875
18,2017,96.66666412353516,99.52381134033205,93.8095245361328,99.04762268066406,97.14286041259766,98.02955627441406,9381.8701171875
19,2018,96.66666412353516,99.04762268066406,94.81131744384766,99.04762268066406,97.14286041259766,99.02912902832033,8429.2998046875
20,2019,96.66666412353516,99.04762268066406,94.3396224975586,99.04762268066406,94.76190185546876,97.58454132080078,10616.9404296875
21,2020,97.14286041259766,99.04762268066406,91.50943756103516,97.61904907226562,93.8095245361328,98.55072784423828,10703.509765625
22,2021,96.66666412353516,99.04762268066406,89.62264251708984,97.61904907226562,95.71428680419922,98.06763458251952,12875.66015625
23,2022,97.16981506347656,99.52830505371094,91.98113250732422,97.64151000976562,94.3396224975586,99.0338134765625,10729.400390625
24,2023,97.16981506347656,99.52830505371094,88.62559509277344,98.58490753173828,95.75471496582033,99.01960754394533,11137.7900390625
