,year,cc,ge,pv,rl,rq,va,sti
0,1996,97.31182861328124,100.0,87.23403930664062,87.939697265625,100.0,55.5,2216.800048828125
1,1998,96.79144287109376,100.0,78.72340393066406,88.0,100.0,53.233829498291016,1392.72998046875
2,2000,97.34042358398438,100.0,84.12698364257812,87.0646743774414,100.0,53.73134231567383,1926.8299560546875
3,2002,98.9417953491211,93.51351165771484,90.47618865966795,89.55223846435547,100.0,51.74129486083984,1341.030029296875
4,2003,97.88359832763672,96.75675964355467,75.37688446044922,92.03980255126952,98.37837982177734,47.2636833190918,1764.52001953125
5,2004,98.5221710205078,96.51741027832033,85.4368896484375,94.23076629638672,98.00994873046876,52.403846740722656,2066.139892578125
6,2005,98.0487823486328,99.01960754394533,88.83495330810547,94.7368392944336,99.50980377197266,55.28845977783203,2347.340087890625
7,2006,98.0487823486328,100.0,93.2367172241211,91.86602783203124,98.03921508789062,34.13461685180664,2985.830078125
8,2007,98.0582504272461,100.0,92.75362396240234,91.38755798339844,98.0582504272461,35.57692337036133,3482.300048828125
9,2008,98.0582504272461,100.0,99.03845977783205,91.34615325927734,98.54368591308594,35.096153259277344,1761.56005859375
10,2009,98.08612060546876,100.0,90.52132415771484,91.4691925048828,97.60765838623048,40.75829315185547,2879.760009765625
11,2010,98.57142639160156,100.0,90.52132415771484,91.94313049316406,98.08612060546876,40.28435897827149,3190.0400390625
12,2011,97.1563949584961,99.52606964111328,90.9952621459961,92.95774841308594,96.68246459960938,45.0704231262207,2646.35009765625
13,2012,97.1563949584961,99.52606964111328,97.1563949584961,93.89671325683594,100.0,51.643192291259766,3167.080078125
14,2013,96.68246459960938,99.52606964111328,96.68246459960938,94.36619567871094,100.0,50.7042236328125,3167.429931640625
15,2014,96.15384674072266,100.0,93.33333587646484,93.26923370361328,100.0,45.81280899047852,3365.14990234375
16,2015,96.66666412353516,100.0,95.23809814453124,94.28571319580078,100.0,41.37931060791016,2882.72998046875
17,2016,97.14286041259766,100.0,99.04762268066406,96.1904754638672,100.0,40.88669967651367,2880.760009765625
18,2017,97.61904907226562,100.0,99.04762268066406,96.66666412353516,99.52381134033205,41.37931060791016,3402.919921875
19,2018,98.57142639160156,100.0,98.58490753173828,97.61904907226562,99.52381134033205,41.74757385253906,3068.760009765625
20,2019,99.04762268066406,100.0,97.64151000976562,97.61904907226562,100.0,39.13043594360352,3222.830078125
21,2020,99.04762268066406,100.0,97.16981506347656,98.57142639160156,100.0,38.164249420166016,2843.81005859375
22,2021,98.57142639160156,100.0,97.64151000976562,98.57142639160156,100.0,40.5797119140625,3123.679931640625
23,2022,98.58490753173828,100.0,97.16981506347656,99.05660247802734,100.0,43.4782600402832,3251.320068359375
24,2023,98.11320495605467,100.0,97.1563949584961,98.11320495605467,100.0,43.6274528503418,3240.27001953125
